,player,player_link,number,class,pos,height,weight,hometown,high_school,rsci,summary,season,date_game,school_name,game_location,opp_name,game_type,game_result,gs,mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
17,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2018-19,2019-03-14,Kansas,N,Texas,CTOURN,W,1,26,1,5,.200,1,4,.250,0,1,.000,0,1,.000,0,3,3,2,0,0,0,1,2
18,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2018-19,2019-03-15,Kansas,N,West Virginia,CTOURN,W,1,21,4,9,.444,3,5,.600,1,4,.250,0,0,,1,2,3,1,0,2,1,3,9
19,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2018-19,2019-03-16,Kansas,N,Iowa State,CTOURN,L,1,21,2,7,.286,1,3,.333,1,4,.250,0,0,,3,3,6,1,0,1,3,2,5
20,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2018-19,2019-03-21,Kansas,N,Northeastern,NCAA,W,1,21,5,5,1.000,4,4,1.000,1,1,1.000,2,2,1.000,2,3,5,0,0,1,3,3,13
21,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2018-19,2019-03-23,Kansas,N,Auburn,NCAA,L,1,24,1,5,.200,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,0,0,2
22,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2019-20,2019-11-05,Kansas,N,Duke,REG,L,1,38,6,10,.600,4,7,.571,2,3,.667,1,3,.333,2,4,6,2,4,0,5,3,15
23,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2019-20,2019-11-08,Kansas,,UNC Greensboro,REG,W,1,35,5,11,.455,2,3,.667,3,8,.375,0,0,,0,4,4,2,2,0,3,1,13
24,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2019-20,2019-11-15,Kansas,,Monmouth,REG,W,1,22,1,9,.111,1,4,.250,0,5,.000,2,2,1.000,1,1,2,3,3,0,0,4,4
25,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2019-20,2019-11-19,Kansas,,ETSU,REG,W,1,34,2,8,.250,2,4,.500,0,4,.000,0,0,,1,2,3,2,1,0,2,2,4
26,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2019-20,2019-11-25,Kansas,@,Chaminade,REG,W,1,27,4,9,.444,1,3,.333,3,6,.500,0,0,,0,1,1,2,1,0,2,2,11
27,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2019-20,2019-11-26,Kansas,N,BYU,REG,W,1,31,6,9,.667,4,5,.800,2,4,.500,0,0,,1,4,5,3,1,0,2,0,14
28,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2019-20,2019-11-27,Kansas,N,Dayton,REG,W,1,45,2,9,.222,1,4,.250,1,5,.200,1,2,.500,1,5,6,4,1,1,1,4,6
29,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2019-20,2019-12-07,Kansas,,Colorado,REG,W,1,36,8,14,.571,4,8,.500,4,6,.667,0,0,,3,9,12,2,1,0,3,0,20
30,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2019-20,2019-12-10,Kansas,,Milwaukee,REG,W,1,34,6,9,.667,1,1,1.000,5,8,.625,5,5,1.000,3,5,8,3,0,1,2,3,22
31,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2019-20,2019-12-14,Kansas,N,Kansas City,REG,W,1,26,2,3,.667,1,1,1.000,1,2,.500,0,0,,0,4,4,3,2,0,1,1,5
32,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2019-20,2019-12-21,Kansas,@,Villanova,REG,L,1,39,5,8,.625,4,4,1.000,1,4,.250,0,0,,0,2,2,4,3,0,2,2,11
33,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2019-20,2019-12-29,Kansas,@,Stanford,REG,W,1,33,5,11,.455,3,5,.600,2,6,.333,2,4,.500,0,3,3,2,2,0,3,3,14
34,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2019-20,2020-01-04,Kansas,,West Virginia,REG,W,1,38,1,6,.167,0,1,.000,1,5,.200,4,6,.667,0,1,1,2,1,0,2,3,7
35,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2019-20,2020-01-08,Kansas,@,Iowa State,REG,W,1,28,6,7,.857,2,2,1.000,4,5,.800,0,0,,0,2,2,2,2,0,4,0,16
36,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2019-20,2020-01-11,Kansas,,Baylor,REG,L,1,33,2,7,.286,2,6,.333,0,1,.000,2,2,1.000,2,3,5,1,1,0,3,0,6
37,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2019-20,2020-01-14,Kansas,@,Oklahoma,REG,W,1,38,3,11,.273,2,7,.286,1,4,.250,0,0,,1,4,5,3,1,0,1,2,7
38,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2019-20,2020-01-18,Kansas,@,Texas,REG,W,1,30,1,6,.167,1,3,.333,0,3,.000,2,2,1.000,1,1,2,0,1,0,1,3,4
39,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2019-20,2020-01-21,Kansas,,Kansas State,REG,W,1,31,3,11,.273,3,8,.375,0,3,.000,0,0,,4,3,7,2,1,0,1,3,6
40,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2019-20,2020-01-25,Kansas,,Tennessee,REG,W,1,38,6,12,.500,3,5,.600,3,7,.429,1,3,.333,1,1,2,1,2,1,0,3,16
41,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2019-20,2020-01-27,Kansas,@,Oklahoma State,REG,W,1,35,2,9,.222,0,2,.000,2,7,.286,3,4,.750,1,3,4,2,0,1,1,2,9
42,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2019-20,2020-02-01,Kansas,,Texas Tech,REG,W,1,37,4,8,.500,3,5,.600,1,3,.333,2,2,1.000,0,5,5,1,0,2,4,1,11
