,season,date_game,school_name,game_location,opp_name,game_type,game_result,gs,mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
70,2020-21,2021-01-23,Kansas,@,Oklahoma,REG,L,1,33,3,8,.375,1,2,.500,2,6,.333,2,4,.500,1,2,3,2,0,0,4,2,10
71,2020-21,2021-01-28,Kansas,,TCU,REG,W,1,38,5,14,.357,3,5,.600,2,9,.222,1,2,.500,0,3,3,4,1,0,1,3,13
72,2020-21,2021-01-30,Kansas,@,Tennessee,REG,L,1,31,3,12,.250,2,3,.667,1,9,.111,2,4,.500,0,2,2,3,1,0,0,4,9
73,2020-21,2021-02-02,Kansas,,Kansas State,REG,W,1,32,6,10,.600,4,5,.800,2,5,.400,1,1,1.000,0,2,2,2,0,0,0,1,15
74,2020-21,2021-02-06,Kansas,@,West Virginia,REG,L,1,39,5,11,.455,2,5,.400,3,6,.500,0,0,,0,2,2,1,0,1,2,1,13
75,2020-21,2021-02-08,Kansas,,Oklahoma State,REG,W,1,39,3,10,.300,1,4,.250,2,6,.333,2,2,1.000,1,1,2,2,4,0,4,3,10
76,2020-21,2021-02-11,Kansas,,Iowa State,REG,W,1,32,7,13,.538,2,3,.667,5,10,.500,0,1,.000,0,3,3,0,1,0,1,0,19
77,2020-21,2021-02-13,Kansas,@,Iowa State,REG,W,1,37,3,10,.300,2,4,.500,1,6,.167,2,3,.667,0,0,0,2,3,2,0,1,9
78,2020-21,2021-02-17,Kansas,@,Kansas State,REG,W,1,34,3,9,.333,2,4,.500,1,5,.200,2,2,1.000,1,4,5,0,1,0,2,1,9
79,2020-21,2021-02-20,Kansas,,Texas Tech,REG,W,1,29,4,11,.364,1,3,.333,3,8,.375,3,4,.750,1,1,2,2,1,0,1,4,14
80,2020-21,2021-02-23,Kansas,@,Texas,REG,L,1,43,5,15,.333,0,4,.000,5,11,.455,2,3,.667,0,2,2,1,1,0,2,3,17
81,2020-21,2021-02-27,Kansas,,Baylor,REG,W,1,37,3,10,.300,2,3,.667,1,7,.143,0,0,,1,2,3,4,0,1,2,3,7
82,2020-21,2021-03-04,Kansas,,UTEP,REG,W,1,35,7,12,.583,4,6,.667,3,6,.500,2,5,.400,1,5,6,1,2,0,1,0,19
83,2020-21,2021-03-11,Kansas,,Oklahoma,CTOURN,W,1,32,9,14,.643,5,6,.833,4,8,.500,4,4,1.000,0,1,1,0,0,0,2,3,26
84,2020-21,2021-03-20,Kansas,N,Eastern Washington,NCAA,W,1,39,7,16,.438,5,8,.625,2,8,.250,2,4,.500,0,7,7,3,1,0,0,3,18
85,2020-21,2021-03-22,Kansas,N,USC,NCAA,L,1,34,3,13,.231,1,5,.200,2,8,.250,0,0,,1,4,5,1,2,1,1,3,8
87,2021-22,2021-11-09,Kansas,N,Michigan State,REG,W,1,36,9,17,.529,6,11,.545,3,6,.500,8,8,1.000,0,2,2,1,2,0,0,2,29
88,2021-22,2021-11-12,Kansas,,Tarleton State,REG,W,1,35,11,16,.688,8,9,.889,3,7,.429,0,1,.000,0,6,6,1,0,1,0,0,25
89,2021-22,2021-11-18,Kansas,,Stony Brook,REG,W,1,30,10,19,.526,6,8,.750,4,11,.364,1,1,1.000,1,3,4,3,2,0,2,0,25
90,2021-22,2021-11-25,Kansas,N,North Texas,REG,W,1,33,6,12,.500,4,9,.444,2,3,.667,4,4,1.000,0,2,2,2,0,0,1,1,18
91,2021-22,2021-11-26,Kansas,N,Dayton,REG,L,1,33,8,16,.500,6,10,.600,2,6,.333,3,7,.429,2,0,2,0,0,0,0,1,21
92,2021-22,2021-11-28,Kansas,N,Iona,REG,W,1,32,8,14,.571,7,11,.636,1,3,.333,0,0,,3,2,5,3,2,0,2,2,17
93,2021-22,2021-12-03,Kansas,@,St. John's (NY),REG,W,1,35,9,16,.563,4,7,.571,5,9,.556,0,0,,2,5,7,1,0,0,0,2,23
94,2021-22,2021-12-07,Kansas,,UTEP,REG,W,1,31,9,12,.750,7,9,.778,2,3,.667,3,4,.750,1,4,5,3,1,1,3,1,23
95,2021-22,2021-12-11,Kansas,,Missouri,REG,W,1,30,7,12,.583,2,5,.400,5,7,.714,2,4,.500,0,4,4,1,0,0,1,2,21
96,2021-22,2021-12-18,Kansas,,Stephen F. Austin,REG,W,1,39,6,14,.429,2,5,.400,4,9,.444,2,3,.667,1,4,5,1,1,1,4,0,18
97,2021-22,2021-12-29,Kansas,,Nevada,REG,W,1,33,7,12,.583,6,9,.667,1,3,.333,1,2,.500,1,6,7,2,4,0,1,1,16
98,2021-22,2022-01-01,Kansas,,George Mason,REG,W,1,36,4,14,.286,2,7,.286,2,7,.286,1,1,1.000,2,5,7,1,1,0,0,1,11
99,2021-22,2022-01-04,Kansas,@,Oklahoma State,REG,W,1,31,5,13,.385,2,5,.400,3,8,.375,3,4,.750,0,2,2,0,0,0,2,4,16
100,2021-22,2022-01-08,Kansas,@,Texas Tech,REG,L,1,35,7,12,.583,1,3,.333,6,9,.667,4,4,1.000,1,3,4,2,0,0,3,4,24
101,2021-22,2022-01-11,Kansas,,Iowa State,REG,W,1,39,8,15,.533,4,7,.571,4,8,.500,2,2,1.000,1,6,7,0,0,1,2,1,22
102,2021-22,2022-01-15,Kansas,,West Virginia,REG,W,1,36,8,17,.471,4,9,.444,4,8,.500,0,1,.000,1,6,7,0,2,1,0,0,20
103,2021-22,2022-01-18,Kansas,@,Oklahoma,REG,W,1,32,4,11,.364,2,6,.333,2,5,.400,0,0,,2,3,5,1,0,0,2,3,10
104,2021-22,2022-01-22,Kansas,@,Kansas State,REG,W,1,36,10,18,.556,8,10,.800,2,8,.250,7,11,.636,1,6,7,2,0,2,3,0,29
105,2021-22,2022-01-24,Kansas,,Texas Tech,REG,W,1,46,13,23,.565,6,11,.545,7,12,.583,4,8,.500,0,7,7,2,0,1,3,2,37
106,2021-22,2022-01-29,Kansas,,Kentucky,REG,L,1,36,4,14,.286,2,8,.250,2,6,.333,3,4,.750,0,2,2,3,1,0,2,2,13
107,2021-22,2022-02-05,Kansas,,Baylor,REG,W,1,31,5,11,.455,3,5,.600,2,6,.333,6,7,.857,0,9,9,2,0,0,3,0,18
108,2021-22,2022-02-07,Kansas,@,Texas,REG,L,1,38,4,7,.571,3,4,.750,1,3,.333,2,2,1.000,1,5,6,0,1,1,3,2,11
